Capitulo	Texto
"La Placita de la Recoleta 
"	"Cuando las sombras de la tarde comienzan a caer sobre la plazuela y se aparee rápidamente el farolero con su larga escalerita al hombro, sus paquetes de fósforos “chalacos” en el bolsillo del saco blanco y sus lustrosos pantalones de donde prende aquéllos con suigeneris movimiento, encendiendo los faroles de gas, rompe en notas alegres el piano de la academia de baile de Pedro Fernández; don Manuel Odría y Zalduondo inicia su paseo, de un extremo a otro de la calle, vestido de negro, con levita larga, luciendo brillosa cadena de pelo trenzado y las manos llevadas a la espalda; silenciosa y grave, “ña Pancha” enciende el farol colgado en su puerta para anunciar la venta de champuz de leche y agrio, mazamorras morada y de cochino, manjarblanco, camote con dulce, tejas y dulce de membrillo; queda solo abierto el postigo del Hospicio y rosquetero corre pregonando su mercancía, farolito en mano:
“Caramanduca caliente,
Para rechinar los dientes
¡Revolución caliente!
Por esta calle me voy 
Por esta otra doy la vuelta,
Y la china que me quiera
Que tenga la puerta abierta”"
"La Placita de la Recoleta 
"	Más tarde todavía los placeros celosos de sus bienes llegan a dormir sobre sus puestos y si una señora de la vecina “Casa de Pobre” pasa algo retrasada y oye los ronquidos de los guardias cuidadosos se persigna y apura el paso mascullando una jaculatoria. Contrasta con el profundo silencio de los bajos del Hospicio el ruido de las altas tertulias que en los altos, sobre el obscuro y solitario portalito ofrecen el General iglesista Rafael Ramírez y el Coronel Noya; algunos vecinos de la calle de la Amargura como don Francisco García Calderón en cuya residencia el día 22 de Febrero del 81, ciento catorce notables, vale decir, civilistas, eligiéronlo presidente de la República; don Francisco de Paula Muñoz, don Mariano Castro Zaldívar y el médico político don Adán Melgar que pasa contando por milésima vez el asesinato de don Manuel Parco, deteniéndose a ratos para explicarlo mejor, van a recogerse en sus casas y después de un largo silencio turbado de vez en cuando por el pitazo del celador llamando a un superior o el rodar de algún coche que pasa camino de su corral, las sombras y el misterio invaden la placita hasta el siguiente día...
"La Plazuela de la Salud 
"	"A Baltazar Caravedo y Carranza
LA PLACITA RECOLETANA se une a la plazuela de la Salud por el “Callejón Largo suigeneris callecita y media, formada en su lado izquierdo por una casa vieja y húmeda con zaguán y patio en forma de rampa, que sigue a la casona solariega de los Gómez Córdova, y por una hilera de tenduchos en los que se alberga gente pobre, mulatos en su mayoría"
"La Plazuela de la Salud 
"	En la esquina de la Cruz hay una pulpería inevitable en todas las esquinas de nuestra ciudad propiedad de un italiano genovés de alguno de los innumerables pueblecitos de la “costa levante” o de la “ponente”, que se expresa en una jerga pintoresca empedrada de “Dio mío”, “ma”, “saprisi” y “madonna” y que en mangas de camisa o con blusa marinera comparte le trabajo de la venta y de las “yapas” con sus dependientes: dos “pichines” coloradotes y risueños
"La Plazuela de la Salud 
"	Como buen garibaldino quizá uno de los mil don Bartolo ha colocado en la testera el armazón dos baratas oleografías de Víctor Manuel uniforme de general, condecoraciones rutilantes, grandes mostachos en punta y de Garibaldi roja camiseta, ancho capote, gorra inclinada para que desde allí contemplen el negocio del antiguo compañero de batallas, que liberal, franco trabajador sin tasa ni medida y amigo de lo criollo corteja perpetuamente a las buenas  mozas talladas en ébano y que acuden diariamente a su mostrador
"La Plazuela de la Salud 
"	"En la acera opuesta existe una tienda muy animada, donde ha sentado sus reales un viejo zapatero remendón que se gana la vida poniendo medias suelas, tapas de taco, estaquillas y remiendos a todos los zapatos, botas o botines de la vecindad. Zambo picaresco de ascendencia “chala” o “Mozambique” y de pasado alegre, conoció en su juventud a todos los “niños” de Lima y los tuteó, mientras que hoy, entre un regaño a uno de sus numerosos hijos y una contrata de “obra”, se pasa el día canturreando al compás de los golpes de martillo coplas populares, tonderos mozasmalas:
“Qué bonita plaza de armas
Tiene mi general,
Donde forma el ejército
Y el general Colás"
"La Plazuela de la Salud 
"	"Colás, Colás
Me miras y te vas,
Pero no me dices
Cuando volverás”
“ Si quieres comer iguana
Yo te la saldré a buscar
Que en las pampas de ña Juana
Se salen a calentar”"
"La Plazuela de la Salud 
"	El ruido que hacen los platos al chocar, los gritos y el rumor de voces nos dicen de la existencia de una fonda de chinos. Al entrar se ven varias mesas mugrientas, ayunas de mantel y encima de ellas dos pomos que contienen el uno vinagre y el otro... lo mismo; el aceite por su precio esta desterrado del convoy. Los mozos unos “macacos” que llevan mandiles de increíble suciedad lanzan unos gritos destemplados pidiendo a la cocina “conserva tu male”, “conserva tu hijo” por conserva de tomate o de higos, “caldo solo con concho”, “lomito montau”, etc, creando así primitivos calembourgs criollos, delicia de los mataperros del barrio. Detrás del mostrador el dueño José Alay, un chino asmático fumando un cigarrillo de “chamico”, vigila el movimiento de su fonda
"La Plazuela de la Salud 
"	"En la Calle de la Cruz ya cerca de la esquina, en el solar “La Nueva Rosita” hay una pequeña fábrica de caramelos y confites. De allí salen las “pepelmas” y los “caracoles” con versos. Son las “pepelmas” unas pastitas cuadradas, casi siempre de color blanco o rosa, selladas, con tinta roja, que llevan frases, máximas y otros giros para sostener una silenciosa conversación. “Los caracoles” multicolores tienes todos en el centro un papelito enrollado a donde van a parar muchos curiosos versos criollos, tales como:
“Reparen bien a Elenita
Como la mira el sujeto,
Voy a darle una copita
Pero guárdenme el secreto”"
"La Plazuela de la Salud 
"	"“Tan alto la vi volar
A la garza palomera
Y después la vi bajar
Más humilde que la tierra”"
"La Plazuela de la Salud 
"	"“Estaba una lagartija
Arrimada a la pared"
"La Plazuela de la Salud 
"	"Vino el lagarto y le dijo:
Bueno es vivir para ver”"
"La Plazuela de la Salud 
"	"que tendrán el honor de ser comentados con alusiones personales a los asistentes de los “faes” y de los “santos” de “gente de medio pelo” donde se sirven alternados con las hojitas limeñas de Field y si la cosa es más elegante con la exquisita repostería conventual... Después de las “pepelmas” y dulces vendrán las copitas del afamado vino de Moquegua marca J.L.T. (que hace levantar a los muertos) o del no menos afamado moscatel marca Ward, moqueguano también, y una buena taza de té comprado en Bodegones donde Wing On Chong. Cerrará la fiesta, con llave de oro por supuesto, una de las niñas de la casa Doloritas o Carmencita entonando con la mímica correspondiente y con ciertas caiditas de ojos dirigidas directamente a su “piquín”, alguna de las canciones de moda, ésta por ejemplo:
LA RUBITA
“A una rubita bella y sin par
Hacia su casa la vi pasar,
Era tan linda que la seguí
Y estas palabras le dirigí:
Casa magnifica yo te pondré
Como ante un clérigo el si me des"
"La Plazuela de la Salud 
"	"Y si es católica tu religión 
Irás al tálamo con bendición"
"La Plazuela de la Salud 
"	"Nadie en el mundo jamás sintió
La ardiente llama que siento yo"
"La Plazuela de la Salud 
"	"Tu amor ton sólo me hará vivir, 
si me lo niegas voy a morir”"
"La Plazuela de la Salud 
"	"Si es morena, escogerá otra del repertorio en uso, el estrambótico y estrafalario valse de notas, pariente cercano de los acrósticos que ciertos conventos dedican las monjitas a la Madre Abadesa en su cumpleaños:
VALSE DE NOTAS
“Dotada estas de hermosura         Do
Resalada incomparable             Re
Mi querida inolvidable                Mi
Famosa y bella criatura              Fa
Solo te estos exhalando              Sol
Latidos del corazón                     La
Siempre te estoy repitiendo        Si
                                        Do, re, mi, fa, sol, la, si             
                                      Salid bella niña al balcón
                                          Y alegres cantemos
                                        Si, la, sol, fa, mi, re, do”"
"La Plazuela de la Salud 
"	Estas canciones dan lugar a que se luzca en el acompañamiento la tía Gertrudis educada en el colegio de la Bausejour en el que aprendió música así como las voces del piano familiar, uno de esos que está fabricando ahora don Luis Freundt en la calle de la Higuera, por más señas, como dice la acompañante, pasada la casa de doña Pancha (doña Francisca Diez Canseco de Castilla), pianos que están dando mas de un dolor de cabeza a don Guillermo Brandes, acostumbrado a surtir de los Blúthner a toda la ciudad
"La Plazuela de la Salud 
"	"Pasada esta esquina se entra en una callejuela muy angosta, de veredas empedradas, el “Callejón Largo”, propiamente dicho. Allí está el jardín del italiano Luis Lombardo, experto en hacer coronas, palmas y cruces para las ceremonias fúnebres, en confeccionar ramos para las tertulias y ramitos de toda forma para el ojal, ramitos que no faltan en las bodas y bautizos de la gente “decente”. Don Luis cultiva en su jardín, en macizos especiales bien abonados con polvos de tabaco procedente de las fábricas “El Perú”, “Garibaldi” y “El Bombero”, varias especies de sus famosos “jazmines del Cabo”: ¿Qué elegante deja de lucirlos, por la tarde, en el ojal de la solapa, parado en la puerta del “Hotel Americano” de los hermanos Grellaud, ese hotel en cuya pilita del patio se exhiben las tortugas para la sopa y las ranas para el caldo?... Del jardín de Lombardo también salen las violetas eternas que luce día y noche don Andrés Avelino Aramburú, director de La opinión Nacional, iglesista “a outrance”. 
Sigue al jardín un corralón, depósito de la “Empresa el Agua de Lima”"
"La Plazuela de la Salud 
"	En la esquina de la Salud, al centro de la calle, una cruceta de madera impide el paso de vehículos por ella
"La Plazuela de la Salud 
"	La plazuela de trágicos recuerdos en los días de la ocupación chilena tiene la forma de triángulo y está rodeada de casas de un solo piso, salvo la estación de la Salud del F.C. Inglés de Lima al Callao. Durante la invasión chilena ciertos barrios como los de San Isidro y la Cruz se hicieron célebres por la encarnizada persecución que hacían sus vecinos todo soldado chileno que caía por allí en tardes horas de la noche. Habiéndose repetido los asesinatos el Gobernador militar Patricio Lynch quiso suprimir estas manifestaciones de la indignación popular contra los invasores, de una manera radical; para esto se apresó a varios sospechosos de esos barrios, se les quintó y fueron unos fusilados junto a la tornería de don Carlos el Alemán, y otros en la pared fronteriza, ya para entrar en la calle de Bravo. Clavadas en lo alto de la pared dos cruces empéñanse los pintores ramplones en cubrir con pintura al temple, color amarillo del rey recuerdan tan luctuosos recuerdos
"La Plazuela de la Salud 
"	"“Dime que bastón usas y te diré quien eres” es lo que hemos sacado en limpio de nuestra conversación con don Carlos. Nos explica don Carlos cómo la clase de madera de cada bastón corresponde exactamente al carácter de las personas que lo llevan:
El nudoso ”lloque” lo llevan los zambos soplones y “tomadores de mesas”"
"La Plazuela de la Salud 
"	El amarillo layo, los guardaespaldas de algún político influyente
"La Plazuela de la Salud 
"	El listado “palo peruano”, los futres que se gastan ínfulas de conquistadores de... celosías
"La Plazuela de la Salud 
"	La negra quebradiza “chonta”, la clase media, empleados, clérigos e indefinidos
"La Plazuela de la Salud 
"	Los aristocráticos “palo de cruz”, “marapinina” y “palo del Brasil” son maderas preferidas de magistrados, autoridades y canónigos de nuestra santa Iglesia Catedral... En estos últimos bastones es indispensable el agujerito para la cinta y borla de oro
"La Plazuela de la Salud 
"	"La estación el ferrocarril Inglés tiene dos salones de espera primera y segunda clase con bancas que todo el día permanecen llenas de ociosos. Las horas más interesantes son la llegada y salida del “tren de baños” asaltado por una turba de hombres claros pantalones Waterloo, sacos obscuros y sombreros de paja del país y mujeres vestidas de colores claros, sombreros de paja Sarah Bernhardt, abanicos de papel pintado obsequio de “Au Bon Marché” y del almacén de Denegrí clientes todos de los baños de chalacos de “La Salud” y de “Chucuito”. 
De tarde en tarde hacen su aparición en la plazuela rubios marineros de los buques de guerra que llegan al Callao, quienes son insistentemente solicitados por los mataperros para guiarlos por unos cuantos “níqueles” de propina, a las casas de diversión de las vecinas calles de Bravo y Monopinta, antes conocidas con los nombres de Iguereta y Cuatro Cositas, respectivamente. Atraviesan en grupo la plazuela mientras los chicos por delante van cantando a toda voz:
“Estaba la muerte en cueros
en medio del mar sentadita
y los ingleses le dicen:
Trinkin fortis Margarita”. 
Como una llamada a la jarana el pianito ambulante “Chimborazo” (llaman así a los mejor templados y no sabemos por cual razón) suena a lo lejos"
"La Plazuela de la Salud 
"	"A las nueve de la noche sale de la estación de San Juan de Dios y pasa por la Salud en último tren al Callao, se cierran las puertas y desaparecen los transeúntes, pero no por eso goza la plazuela del tranquilo sueño de su vecina, la placita de la Recoleta, el ruido de las maquinarias de la fábrica de gas, distante apenas una cuadra y trabaja de seis de la tarde, a seis de la mañana se lo interrumpe a cada momento. Los alrededores de la fábrica, en su mayoría abandonados, han sido cuna de obscuras y trágicas leyendas en las cuales aparece casi siempre un asesino que escapa a la justicia, como:
“El negro Matamandinga
por la fábrica del Gas
(que) hiso siete muertes juntas
y lo dejaron fugar”"
"La Plazuela de la Salud 
"	"u otro como el negro:
“Taita Huaranguito
(que) mató a du mujer
con cuchillito
del tamaño de él”"
"La Plazuela de la Salud 
"	Un olor especialísimo mezcla de alquitrán y espiritu de carbón de piedra satura el aire haciéndolo casi irrespirable y para colmo de males la gente dice que ese aire cura la tos convulsiva, las abuelas viejas de manta, con un cigarro corbatón en los labios y marcado aspecto de brujas entre un concurso de variadas toses, llevan a sus nietos a curarse aspirándolo. La plazuela de la Salud es, pues, entre todas las de esta curiosa Lima la que ha visto y oido toser más y mejor.
"La Plazuela de San Carlos
"	SALIENDO DEL ANTIGUO TEATRO “POLITEAMA”, propiedad del voluminosos italiano Nicoletti y atravesando la calle de “Gallinacitos” antes llamada del “Campanario” se llega a la plazoleta de San Carlos
"La Plazuela de San Carlos
"	El teatro Politeama está en estos días de moda. Una compañía francesa de drama, la de Sarah Bernhardt ha venido como dicen los elegantes, aunque mal hablados concurrentes a “sentar sus reales” en él. El joven don Emilio Gutiérrez d Quintanilla vuelca a espuertas su asombrosa erudición sobre el público desde las columnas del diario de Melchormalo, El Nacional, en donde escribe las reseñas teatrales. Su pequeña y simpática figura, su barba negra cerrada, cuidada con esmero, sus distinguidos modales y su parla tan castiza y amena, hacen acoger su entrada en la sala con murmullos de admiración, al lado, en veces, de la alta y gruesa de don Pedro Soldán y Unanue ofrecen ambas un marcado contraste que va hasta sus escritos tan diferentes también. Con la compañía de  Sarah Bernhardt no solamente se han puesto de moda los “canotiers” sino también se expande el idioma francés aprendido en el colegio de monsieur Garnier, en la calle Virreina, por el que han pasado tantos de nuestros jóvenes. “ Le maitre des forges”, y “frufru”, “epatant”, “et merveilleux”, detonan al lado de cada “catay” y de cada “chichirimico” que es un encanto y el “mon cheri” ha pasado a ser moneda más corriente en Lima que lo níqueles y los incas. Los gringos comerciantes que saben sacar tan buen partido de nuestra novelería comienzan a bautizar con el nombre de la comediante todas sus mercaderías. Así el género blanco “tres pericotes” que vendía Jochamowitz, en judíos, lo llamaban ahora donde W. Grace “Sara Bernhardt”
"La Plazuela de San Carlos
"	A la derecha levántase la iglesia de San Carlos que perteneció a la casa de Probación de San Antonio Abad, noviciado de los jesuitas, santo cuya imagen se puede ver en una de las hornacinas de la fachada. La iglesia carolina es muy visitada por los extranjeros, que van a admirar en ella dos magnificas obras de talla de estilo Churrigueresco: el retablo del altar mayor y el púlpito de coba que es, sin disputa, el mejor que existe en Lima
"La Plazuela de San Carlos
"	"La fachada de la Universidad edificio contiguo a la iglesia no tiene nada de particular. En los dias de la ocupación chilena la Universidad fue convertida en cuartel y los chiquillos, y también los adultos en reprimidas explosiones de furor antiaraucano, escribían en la pared del costado versos insultantes a los invasores, algunos de ellos obra de “El Murciélago”. En un rinconcito medio borrachos ya leemos los siguientes:
“El doctor Altamirano
Prueba, en discurso profundo
Que el poto de cualquier “roto”
Es el más roto del mundo”"
"La Plazuela de San Carlos
"	A la izquierda la placita es un martillo, se angosta para formar la calle de Inambari, mando de él, que nos conduce a la “gruta de Lourdes” aneja al colegio de Santa Rosa fundado por el chileno coronel de milicias don Pedro González Candamo, tronco de la familia en el Perú
"La Plazuela de San Carlos
"	En la esquina está la botica del ciudadano suizo don Alberto Tiravanti, quien amen de boticario es estudiante de Jurisprudencia y de Ciencias Políticas y Administrativas. Allí, en su trastienda, sentado los concurrentes en un gran canapé y varios sillones de resbalosa “cerda negra”, se hace la tertulia. Don Juan Lama y otros catedráticos van apareciendo y echan una mano de charla saboreando una copita de “bitter de coca”, especialidad de la casa. Cada día que pasa los estudiantes le inventan una anécdota al catedrático Lama
"La Plazuela de San Carlos
"	Ya es aquella que cuenta cómo teniendo un bastón demasiado largo quiere para achicarlo que se lo corten del lado del puño y no del regatón, pues es por aquel lado que le está grande, ya es aquella otra que cuenta como ordena en “La Bella Jardinera” camisería de Seguí en la esquina de Mercaderías marcar la primera de una docena de camisas con sus iniciales J.L. y las once restantes con un ibídemídem. Don Juan las sabe muy bien pero se sonríe paternalmente de ellas..
"La Plazuela de San Carlos
"	En el centro de la placita frente a frente de la puerta de la iglesia hay una escalinata de piedra y sobre ella un paralelepípedo espera inútilmente la estatua del clérigo rebelde Francisco de Paula González Vigil. En las gradas, los muchachos “vaqueros” los más de ellos de los colegios municipales de la vecina calle de Guadalupe que dirigen don Gregorio Siguas y el cíclope clérigo Durán se sientan a jugar al “montadito” con figuritas que forman las cajas de fósforos de cera: colecciones numeradas e inacabables de la historia italiana desde la fundación de Roma al Assedio di firenze y desde las Cento citta d´italía a la Vita Nuova del Dante... El juego consiste en empujar desde lo alto una “figurita” para que caiga y tape completamente otra de las que ya están en el suelo; el que tapa gana y se las lleva todas. Nos hemos detenido largo rato a contemplar las incidencias curiosas que para los mataperros jugadores no tienen interés, y si lo tienen para nosotros: aquí una pareja que baila ”Cancan” cubre del todo a una dogaresa de cabello color cobre y más allá Don Quijote de la Mancha en una aventura no soñada jamás por don Miguel de Cervantes Saavedra desaparece completamente cubierto por un mendigo napolitano que duerme feliz al sol..
"La Plazuela de San Carlos
"	La calle de San Carlos propiamente dicha comienza con la finca de la esquina, residencia del caballero limeño don José Manuel Barrenechea y Morales García de la Plata casa de zaguán empedrado, arco de reja de hierro, patio grande con macetas, callejón a un costado y al fondo de él, “la piedra paiteña”, la ventruda tinaja y su destiladora seguida de otras más del mimo estilo. Don José Manuel acaba de fallecer, como el señor La Jara, en la catástrofe de la aduana del Callao de la cual eran ambos vistas producida por el descuido de los peones al manejar unos cajones de dinamita que estallaron horriblemente. La segunda casa es la residencia del doctor Santa Gadea, casado con una de las Gómez de Córdova
"La Plazuela de San Carlos
"	 En la tercera habita la familia del Coronel Noriega, un pierolista fanático por el caudillo. Su hijo Panchito tipo rubio, menudo y muy simpático es el amigo obligdo de todos los estudiantes que en las mañanas apostados en las puertas de la Universidad conversan animadamente con el apasionado pierolista. Panchito sabe de memoria todos los versos criollos que se han escrito loando a “Don Nicolás” que con las corridas de toros, constituyen sus dos vehementes pasiones
"La Plazuela de San Carlos
"	"“Tomaremos un cocktail
Very well
Por el “Huáscar” del Perú
Very good"
"La Plazuela de San Carlos
"	"Muera el Almirante inglés
Yes
Con su Amethyst y su Shah
Hurrah
29 de Mayo glorioso
Fecha ilustre que hoy honra el Perú
En que Piérola supo animoso
Defender el honor nacional"
"La Plazuela de San Carlos
"	"Tomaremos un cocktail
Very well
Por el “Huáscar” del Perú
Very good"
"La Plazuela de San Carlos
"	"Muera el Almirante inglés
Yes
Con su Amethyst y su Shah
Hurrah
es una de sus “creaciones” (por la manera de recitarla) celebérrimas. Para conservarse en pa con Panchito hay que ignorar que alguna vez existió un Justiniano de Zubiría autor de La Expedición del Talismán o un “Murciélago” que escribió un Ramillete o repertorio su último dardo emponzoñado. Mentarlos ante él provocarían un lance de honor. Una referencia al libro de don José Antonio 
García y García “El Monitor rebelde Huáscar sería para Panchito un cartel de desafío. Como todos los pierolista, en los cuales no caben ni la tibieza ni el desengaño, Panchito seguro y confiado ver al caudillo ceñirse nuevamente la banda bicolor...”
La plazuela tiene como todas las de Lima un par de ”zonzos”, últimos retoños de la estirpe de los “Manongos” Cortiguera, Cogoy y Moñon. 
Don Manuel “Págame lo que me debes”, viejo y barbudo, pringoso, bajo de cuerpo, es un tipo popular muy curioso. Lleva en el vestido, sobre todo en los pantalones, cosidas al forro monedas de níquel e “incas” de plata y espera pacientemente que la reina Victoria de Inglaterra llegue en la “escuadra” para casarse con él y fundar entrambos la “República del Mundo” de la cual él sería ¡claro! el presidente. Muy cortés, dentro de su completa locura, solamente “arde en rabia” y se “desata en desvergüenzas” de todo género cuando alguien le interroga casi siempre después de hacerlo sobre su salud y la de su novia ¿Y don Manuel cuándo me paga esa cuentecita que me debe?.."
